company_name,service_name,category,website_url,product_url,catalog_versions,ocpi_versions,roles_supported,geographic_coverage,target_customers,notes,sponsorship_tier,source_urls,last_verified_date,active
Gireve,Gireve Roaming Hub,Roaming Hub,https://www.gireve.com/,https://www.gireve.com/ev-roaming-services/,all,Unknown,Hub|CPO|eMSP,Europe,CPO|eMSP,B2B roaming and clearing platform with marketplace contracts and operational support for EV charging.,none,https://www.gireve.com/ev-roaming-services/|https://www.gireve.com/,2026-02-11,yes
Hubject,Hubject intercharge,Roaming Hub,https://www.hubject.com/,https://www.hubject.com/,all,2.2.1,Hub|CPO|eMSP,Global,CPO|eMSP,Intercharge eRoaming network connecting CPO and EMP participants across many countries.,none,https://www.hubject.com/|https://support.hubject.com/hc/en-us/articles/21771079863837-Guide-on-how-to-Send-OCPI-CDRs-to-Hubject-Financial-Services,2026-02-11,yes
e-clearing.net,e-clearing Starter Package,Roaming Hub,https://www.e-clearing.net/,https://www.e-clearing.net/starter-package,all,2.1.1|2.2.1,Hub|CPO|eMSP|NSP,Europe,CPO|eMSP|NSP,Roaming platform with explicit OCPI and OCHP support for operators and mobility providers.,none,https://www.e-clearing.net/starter-package|https://www.e-clearing.net/,2026-02-11,yes
ChargeAngels,ChargeAngels,CPO Platform/CPMS,https://www.chargeangels.fr/,https://www.chargeangels.fr/,all,Unknown,CPO,Europe and selected international markets,CPO,White label and open source CPMS with roaming support through major hubs and OCPI payment terminal claims.,none,https://www.chargeangels.fr/|https://openchargealliance.org/participants/chargeangels/,2026-02-11,yes
Monta,Monta,CPO Platform/CPMS,https://monta.com/,https://monta.com/,all,Unknown,CPO|eMSP,Europe and North America,CPO|eMSP|Fleet,End to end EV charging platform with roaming capabilities and software for operators and solution providers.,none,https://monta.com/|https://www.enapi.com/,2026-02-11,yes
Solidstudio,Solidstudio OCPI Gateway,OCPI Gateway/Integration,https://solidstudio.io/,https://solidstudio.io/products/ocpi-gateway,all,2.1.1|2.2,CPO|eMSP|Hub,Europe,CPO|eMSP,Gateway product for secure OCPI integrations with direct peers or hubs and deployment options on premise or cloud.,none,https://solidstudio.io/products/ocpi-gateway,2026-02-11,yes
ENAPI,ENAPI Transaction Broker,Interoperability Service,https://www.enapi.com/,https://www.enapi.com/product/roaming,all,Unknown,Hub|CPO|eMSP,Europe,CPO|eMSP,Transaction broker for OCPI roaming with peer to peer agreements plus technical and financial clearing products.,none,https://www.enapi.com/product/roaming|https://www.enapi.com/,2026-02-11,yes
Spirii,Spirii Connect,CPO Platform/CPMS,https://www.spirii.com/,https://www.spirii.com/en/product/connect,all,Unknown,CPO|eMSP,Europe,CPO|eMSP|Fleet,Charge point management platform with direct OCPI integrations and roaming hub partnerships.,none,https://www.spirii.com/en/services/roaming|https://www.spirii.com/en/product/connect|https://developer.spirii.com/,2026-02-11,yes
EOSVOLT,EOSVOLT OCPI and Roaming,OCPI Gateway/Integration,https://eosvolt.com/,https://eosvolt.com/feature/ocpi-roaming,all,Unknown,CPO|eMSP|NAP,Global,CPO|eMSP,OCPI feature set supporting roaming as CPO or eMSP with NAP compliance workflows.,none,https://eosvolt.com/feature/ocpi-roaming,2026-02-11,yes
AMPECO,AMPECO EV Charging,CPO Platform/CPMS,https://www.ampeco.com/,https://www.ampeco.com/ev-charging-platform/open-charge-point-interface-ocpi-protocol/,all,Unknown,CPO|eMSP|SCSP,Global,CPO|eMSP|Charge Service Provider,EV charging management platform with OCPI-enabled roaming and support for data exchange billing and smart charging workflows.,none,https://www.ampeco.com/ev-charging-platform/open-charge-point-interface-ocpi-protocol/|https://developers.ampeco.com/,2026-02-11,yes
Driivz,Driivz EV Charging Management,CPO Platform/CPMS,https://driivz.com/,https://driivz.com/blog/seamless-ev-charging-with-ocpi/,all,2.2.1,CPO|eMSP|EVSP,Global,CPO|eMSP|EVSP,Driivz platform states production support for hundreds of OCPI 2.2.1 connections and roaming workflows.,none,https://driivz.com/blog/seamless-ev-charging-with-ocpi/|https://driivz.com/platform/,2026-02-11,yes
Last Mile Solutions,Last Mile Solutions,CPO Platform/CPMS,https://www.lastmilesolutions.com/,https://www.lastmilesolutions.com/insights/glossary/open-charge-point-interface-ocpi/,all,Unknown,CPO|eMSP|Hub|NSP|NAP|SCSP,Europe,CPO|eMSP,Charging platform and roaming services provider with long-standing OCPI implementation and CPO or MSP offerings.,none,https://www.lastmilesolutions.com/insights/glossary/open-charge-point-interface-ocpi/|https://www.lastmilesolutions.com/roaming-as-a-service/,2026-02-11,yes
Virta,Virta Hub,CPO Platform/CPMS,https://www.virta.global/,https://www.virta.global/blog/ocpi-protocol-explained-the-backbone-of-ev-charging-interoperability,all,2.2.1,CPO|eMSP,Global,CPO|eMSP,Virta Hub supports OCPI 2.2.1 for peer-to-peer roaming between charging networks and service providers.,none,https://www.virta.global/blog/ocpi-protocol-explained-the-backbone-of-ev-charging-interoperability|https://www.virta.global/charging-solution/virta-hub-cpms,2026-02-11,yes
GreenFlux,GreenFlux eMobility,CPO Platform/CPMS,https://www.greenflux.com/,https://www.greenflux.com/expertise/blogs/2025-the-year-ocpi-unified-ev-charging-industry/,all,2.3.0,CPO|eMSP|Hub,Global,CPO|eMSP|Utilities,GreenFlux operates large scale roaming with OCPI and reports hundreds of active OCPI connections.,none,https://www.greenflux.com/expertise/blogs/2025-the-year-ocpi-unified-ev-charging-industry/|https://www.greenflux.com/roaming/,2026-02-11,yes
Paua,Paua EV Charging Payment,eMSP Platform,https://www.paua.com/,https://www.paua.com/article/ocpi-vs-ocpp-the-vital-difference-every-cpo-should-understand-when-working-with-paua,all,Unknown,eMSP|CPO,United Kingdom,eMSP|Fleet,Paua provides UK focused fleet charging payments and roaming and documents OCPI based interoperability with CPO partners.,none,https://www.paua.com/article/ocpi-vs-ocpp-the-vital-difference-every-cpo-should-understand-when-working-with-paua|https://www.paua.com/networks|https://www.enapi.com/,2026-02-11,yes
